id,"airport_ref","airport_ident","length_ft","width_ft","surface","lighted","closed","le_ident","le_latitude_deg","le_longitude_deg","le_elevation_ft","le_heading_degT","le_displaced_threshold_ft","he_ident","he_latitude_deg","he_longitude_deg","he_elevation_ft","he_heading_degT","he_displaced_threshold_ft"
239013,2714,"ESUK",3017,131,"ASP",0,0,"05",67.760498046875,20.252300262451172,,54,,"23",67.76529693603516,20.270000457763672,,234,
239014,2714,"ESUK",3014,131,"ASP",0,0,"11",67.7677001953125,20.249300003051758,,107,,"29",67.76519775390625,20.270000457763672,,287,
239015,2714,"ESUK",3949,131,"ASP",0,0,"17",67.77040100097656,20.248600006103516,,171,,"35",67.75969696044922,20.25309944152832,,351,
506986,29380,"ESUL",2131,98,"Grass",0,0,"09",,,,,,"27",,,,,
506953,29381,"ESUM",2590,98,"ASP",0,0,"12",,,,,,"30",,,,,
238974,2715,"ESUP",7552,148,"ASP",1,0,"11",67.24952697753906,23.051240921020508,540,118,,"29",67.23977661132812,23.098180770874023,540,298,
260257,29383,"ESUS",3937,,"UNK",0,0,"12",,,1011,,,"30",,,1011,,
238988,2716,"ESUT",5254,98,"ASP",1,0,"15",65.81199645996094,15.075200080871582,1503,152.5,197,"33",65.79930114746094,15.091300010681152,1502,332.5,482
506515,29739,"ESVB",2218,90,"ASP",0,0,"09",,,,,,"27",,,,,
506516,29739,"ESVB",2218,90,"ASP",0,0,"16",,,,,,"34",,,,,
506958,29389,"ESVK",2295,131,"Grass",0,0,"15",,,,,,"33",,,,,
506950,29391,"ESVQ",2755,131,"Grass",0,0,"06",,,,,,"24",,,,,
298367,29392,"ESVS",2750,65,"Asphalt",0,0,"14",,,,,,"32",,,,,
